Resume_ID,Category,Match_Score,Recommendation
RESUME_090,Python_Developer,53.327320756241214,⚠ Consider
RESUME_504,Python_Developer,52.01267847611852,⚠ Consider
RESUME_112,Python_Developer,49.94440838265026,❌ Not Recommended
RESUME_1127,Python_Developer,48.60203780693561,❌ Not Recommended
RESUME_499,Python_Developer,48.46971458643569,❌ Not Recommended
RESUME_1040,Python_Developer,45.51569271776624,❌ Not Recommended
RESUME_933,Python_Developer,45.50258726440196,❌ Not Recommended
RESUME_972,Python_Developer,45.04425655715604,❌ Not Recommended
RESUME_1062,Python_Developer,44.39263394895056,❌ Not Recommended
RESUME_967,Python_Developer,43.61322622597202,❌ Not Recommended
RESUME_039,Python_Developer,43.334419759957186,❌ Not Recommended
RESUME_094,Python_Developer,42.56918673355257,❌ Not Recommended
RESUME_062,Python_Developer,42.42784786927656,❌ Not Recommended
RESUME_1148,Python_Developer,42.19820879626119,❌ Not Recommended
RESUME_973,Python_Developer,41.31295439650638,❌ Not Recommended
RESUME_036,Python_Developer,41.18893642631233,❌ Not Recommended
RESUME_920,Python_Developer,40.740450495266316,❌ Not Recommended
RESUME_918,Python_Developer,40.38415780915615,❌ Not Recommended
RESUME_055,Python_Developer,40.335487236311145,❌ Not Recommended
RESUME_040,Python_Developer,39.95598252392767,❌ Not Recommended
RESUME_041,Python_Developer,39.93180704511573,❌ Not Recommended
RESUME_043,Python_Developer,39.90705412594535,❌ Not Recommended
RESUME_919,Python_Developer,39.89639598728662,❌ Not Recommended
RESUME_1272,Python_Developer,39.887655297706104,❌ Not Recommended
RESUME_105,Python_Developer,39.704485284243624,❌ Not Recommended
RESUME_049,Python_Developer,39.27477148101054,❌ Not Recommended
RESUME_098,Python_Developer,38.87558224585313,❌ Not Recommended
RESUME_100,Python_Developer,38.63053942586958,❌ Not Recommended
RESUME_753,Python_Developer,38.58497633808536,❌ Not Recommended
RESUME_1261,Python_Developer,38.44263272689683,❌ Not Recommended
RESUME_024,Python_Developer,37.398391390814766,❌ Not Recommended
RESUME_060,Python_Developer,37.29068747759035,❌ Not Recommended
RESUME_061,Python_Developer,37.26224927870784,❌ Not Recommended
RESUME_059,Python_Developer,37.258295559577455,❌ Not Recommended
RESUME_1103,Python_Developer,35.71149611433926,❌ Not Recommended
RESUME_053,Python_Developer,35.59995502015394,❌ Not Recommended
RESUME_1170,Python_Developer,32.927712769393565,❌ Not Recommended
RESUME_778,Python_Developer,31.279042604631496,❌ Not Recommended
RESUME_1177,Python_Developer,30.36196032586041,❌ Not Recommended
RESUME_064,Python_Developer,29.845764943427117,❌ Not Recommended
RESUME_050,Python_Developer,29.820679527756973,❌ Not Recommended
RESUME_1052,Python_Developer,29.46436333417286,❌ Not Recommended
RESUME_462,Python_Developer,29.41441831978083,❌ Not Recommended
RESUME_1164,Python_Developer,29.017765452200127,❌ Not Recommended
RESUME_500,Python_Developer,28.019469321960894,❌ Not Recommended
RESUME_6708,Web_Developer,27.77816895135906,❌ Not Recommended
RESUME_095,Python_Developer,27.303335189023866,❌ Not Recommended
RESUME_1250,Python_Developer,26.942097859079826,❌ Not Recommended
RESUME_3766,Project_manager,26.84328999442471,❌ Not Recommended
RESUME_1121,Python_Developer,26.84076195989079,❌ Not Recommended
RESUME_1202,Python_Developer,26.837319923330405,❌ Not Recommended
RESUME_1244,Python_Developer,26.83607134738631,❌ Not Recommended
RESUME_1277,Python_Developer,26.468623361237654,❌ Not Recommended
RESUME_772,Python_Developer,26.358381387119667,❌ Not Recommended
RESUME_754,Python_Developer,26.06912086171387,❌ Not Recommended
RESUME_823,Python_Developer,26.039343994930864,❌ Not Recommended
RESUME_066,Python_Developer,25.727325540462353,❌ Not Recommended
RESUME_7412,Database_Administrator,25.666278111356878,❌ Not Recommended
RESUME_523,Python_Developer,25.35802144354115,❌ Not Recommended
